Identification;idExp;Main_contributor;IndOut;Exp_location;Condition;Treatment;Genotype;Genetic_group;Plant_Stage;Leaf_Stage;Type_Sample;Measurement;Leaf_Status;Date;SLA_mm2_mg;LDMC_mg_g;Thickness_microm;CSR_C;CSR_S;CSR_R;LNC_perc;LCC_perc;RWC_perc;SA_ng_gFW;JA_ng_gFW;IAA_ng_gFW;ABA_ng_gFW;CMLX_ng_gFW;Progoitrin_Peakarea_mg;Epiprogoitrin_Peakarea_mg;Sinigrin_Peakarea_mg;Glucoraphanin_Peakarea_mg;Glucoraphenin_Peakarea_mg;Glucosilbin_Peakarea_mg;Glucopin_Peakarea_mg;Glucoerucin_Peakarea_mg;Glucobrassicin_Peakarea_mg;X8MSO_Peakarea_mg;Isobutyl_Peakarea_mg;Butyl_Peakarea_mg;X5MTP_Peakarea_mg;Neoglucobrassicin_Peak1_Peakarea_mg;Neoglucobrassicin_Peak2_Peakarea_mg;Hexyl_Peakarea_mg;Glucoalysiin_Peakarea_mg;X3MTP_Peakarea_mg;Glucosturtiin_Peakarea_mg;X7MTH_Peakarea_mg;X6MSH_Peakarea_mg;X8MTO_Peakarea_mg;X7MSH_Peakarea_mg;pCoumaricAcid_Peakarea_mg;Succit_Peakarea_mg;Malat_Peakarea_mg;Citrat_Peakarea_mg;Fumarat_Peakarea_mg;Cyanidin_rhamnoside_Peakarea_mg;Kaempherol_xylosyl_rhamnoside_Peakarea_mg;Kaempherol_rutinoside_Peakarea_mg;Kaempherol_glucosyl_rhamnosyl_glucoside_Peakarea_mg;Apigenin_rutinoside_Peakarea_mg;Quercetin_glucoside_Peakarea_mg;Cyanidin_sophorosid_glucoside_Peakarea_mg;Pelargonidin_sambubioside_Peakarea_mg;Pelargonidin_cumaroyl_diglucoside_glucoside_Peakarea_mg;Prenyl_ringenin_Peakarea_mg;mCoumaricAcid_Peakarea_mg;Dihydro_caffeoyl_glucuronide_Peakarea_mg;CaffeicAcid_Peakarea_mg;ChlorogenicAcid_Peakarea_mg;Epigallocatechin_Peakarea_mg;Fructose_micromol_gFW;Galactose_micromol_gFW;Glucose_micromol_gFW;Maltose_micromol_gFW;Melezitose_micromol_gFW;delta13C;delta15N;Xylose_micromol_gFW;Arabinose_micromol_gFW;Ribose_micromol_gFW;Rhamnose_micromol_gFW;Fucose_micromol_gFW;Mannose_micromol_gFW;Inositol_micromol_gFW;Sucrose_micromol_gFW;Cellobiose_micromol_gFW;Trehalose_micromol_gFW;Palatinose_micromol_gFW;Melibiose_micromol_gFW;Isomaltose_micromol_gFW;Raffinose_micromol_gFW;Plant_Growth_rate;Mannose_Xylose_micromol_gFW;Plant_Lifespan
AraBreed_Outside_Spring2019-183;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress/Herbivory;;;Flowering;Mature leaf;Living leaf;;detached;14/05/2019;33.4335249042146;141.081081081081;212.006440411865;0;0;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-184;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress/Herbivory;;;Flowering;Mature leaf;Living leaf;;detached;14/05/2019;21.9954971857411;NA;196.185472039305;0;NA;53.60255299;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-185;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress/Herbivory;;;Flowering;Mature leaf;Living leaf;;detached;14/05/2019;20.420415879017;NA;212.915648374435;0;NA;51.80438336;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-187;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;Controle;;;Flowering;Mature leaf;Living leaf;;detached;14/05/2019;37.321608040201;94.7619047619048;282.752120640905;0;0;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-60;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;25/04/2019;25.3313607990012;137.157534246575;287.820557681901;10.7815019;0;89.2184981;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-69;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;25/04/2019;28.4000398565165;109.563318777293;321.377798548046;6.841596894;0;93.15840311;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-70;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;25/04/2019;32.8058952925649;103.7899543379;293.692451701673;6.409052707;0;93.59094729;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-71;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;25/04/2019;42.879011627907;69.6356275303644;334.906626134378;5.265290423;0;94.73470958;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-72;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;25/04/2019;34.9268810289389;90.1449275362319;317.613461655309;8.848403366;0;91.15159663;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-73;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;25/04/2019;27.3388357256778;158.73417721519;230.435581587322;1.881322348;0;98.11867765;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-74;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;25/04/2019;49.6025044722719;86;234.421771651556;0.3944476;0;99.6055524;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-204;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;20/06/2019;26.017770419426;164.727272727273;233.326687058005;4.168115137;0;95.83188486;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-205;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;20/06/2019;26.6504424778761;157.956989247312;237.550926576329;2.79188931;0;97.20811069;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-206;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;20/06/2019;22.9434782608696;163.009708737864;267.37898505014;3.133233644;0;96.86676636;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-207;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;20/06/2019;33.6770072992701;111.836734693878;265.510701706855;0;0;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-61;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;25/04/2019;52.9822758259046;85.1339285714286;221.700522183909;6.418870851;0;93.58112915;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-208;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;20/06/2019;25.2662106703146;197.567567567568;200.329189587214;0;NA;71.96862202;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-209;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;20/06/2019;34.2827708703375;127.954545454545;227.965100615506;0;0;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-210;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;20/06/2019;24.3469298245614;217.142857142857;189.15169966313;0;NA;61.66436916;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-62;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;25/04/2019;41.3035567715458;98.7837837837838;245.090733251857;4.220865985;0;95.77913401;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-63;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;25/04/2019;34.0523483365949;148.115942028986;198.267316063963;1.638603115;0;98.36139689;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-64;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;25/04/2019;32.4886289798571;111.521739130435;276;3.795396528;0;96.20460347;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-65;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;25/04/2019;33.9415029888984;120.721649484536;244.05278584997;2.352969286;0;97.64703071;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-66;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;25/04/2019;40.8458950201884;114.307692307692;214.178624973228;0.8291357;0;99.1708643;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-67;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;25/04/2019;41.871705963939;97.4324324324324;245.118335845244;0.793140978;0;99.20685902;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-68;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress;;;Flowering;Mature leaf;Living leaf;;detached;25/04/2019;44.1947368421053;88.8888888888889;254.555198285102;4.631712205;0;95.3682878;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-75;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress/Herbivory;;;Flowering;Mature leaf;Living leaf;;detached;25/04/2019;45.0512430939227;104.927536231884;211.545477678886;1.073943417;0;98.92605658;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-211;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress/Herbivory;;;Flowering;Mature leaf;Living leaf;;detached;20/06/2019;20.5369066838876;168.773841961853;288.50931091084;15.38079619;NA;80.50693518;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-212;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress/Herbivory;;;Flowering;Mature leaf;Living leaf;;detached;20/06/2019;25.4092420726991;156.727272727273;251.109829351848;6.882264475;0;93.11773553;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-213;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress/Herbivory;;;Flowering;Mature leaf;Living leaf;;detached;20/06/2019;21.8219166666667;190.47619047619;240.583816728595;0.273059923;NA;73.10721841;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-214;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress/Herbivory;;;Flowering;Mature leaf;Living leaf;;detached;20/06/2019;27.3370994940978;118.6;308.434448426676;0;0;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-215;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress/Herbivory;;;Flowering;Mature leaf;Living leaf;;detached;20/06/2019;22.7900249376559;211.052631578947;207.904757736245;0;NA;62.52765069;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-216;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress/Herbivory;;;Flowering;Mature leaf;Living leaf;;detached;20/06/2019;33.2111111111111;202.5;148.69335712427;0;NA;74.28281875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-76;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress/Herbivory;;;Flowering;Mature leaf;Living leaf;;detached;25/04/2019;33.2829706717124;140.933333333333;213.188706115105;1.725403801;0;98.2745962;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AraBreed_Outside_Spring2019-77;AraBreed Spring2019;Francois Vasseur;Outdoor;CEFE, Montpellier, France;Common garden;WaterStress/Herbivory;;;Flowering;Mature leaf;Living leaf;;detached;25/04/2019;33.4659201954397;95.1937984496124;313.898017210858;7.006400759;0;92.99359924;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
